VIN,EXTERIOR,INTERIOR,DATE_SOLD,CUSTOMER_ID
1FM5K8GC6LGA17794,Blue,Ebony with Light Slate Uppers,,
1FM5K8HC9LGA55003,Rapid Red,Ebony with Light Slate Uppers,,
1FM5K8GC0LGA71043,Atlas Blue,Ebony with Light Slate Uppers,,
1FMSK8DHXLGA82652,Magnetic,Ebony with Light Slate Uppers,,
1FMSK8FH5LGA82653,Silver Spruce,Sandstone,,
1FMSK8FH4LGB22365,Blue,Sandstone,,
1FMSK8DH2LGB29978,Blue,Ebony with Light Slate Uppers,,
1FMSK8DHXLGB36550,Silver Spruce,Ebony with Light Slate Uppers,,
1FM5K8GC6LGB22366,Rapid Red,Ebony with Light Slate Uppers,,
1FM5K8HC8LGB29981,Star White,Ebony with Light Slate Uppers,,
1FM5K8GC7LGB42576,Blue,Ebony with Light Slate Uppers,,
1FM5K8GC9LGB54891,Magnetic,Ebony with Light Slate Uppers,,
1FMSK8DH7LGB54889,Blue,Ebony with Light Slate Uppers,,
1FMSK8FH7LGB54890,Iconic Silver,Ebony with Light Slate Uppers,,
1FM5K8GC0LGB54892,Star White,Ebony with Light Slate Uppers,,
1FMSK8DH8LGA93245,Magnetic,Ebony with Light Slate Uppers,,
1FM5K8GC5LGB56556,Atlas Blue,Ebony with Light Slate Uppers,,
1FM5K8GC1LGB64718,Agate Black,Ebony with Light Slate Uppers,,
1FMSK8DH6LGB75068,Star White,Ebony with Light Slate Uppers,,
1FM5K8HC4LGB54893,Star White,Ebony with Light Slate Uppers,,
1FMSK8DH9LGB83049,Rapid Red,Ebony with Light Slate Uppers,,
1FMSK8DH0LGB05632,Oxford White,Ebony with Light Slate Uppers,,
1FMSK8DHXLGB94190,Magnetic,Ebony with Light Slate Uppers,,
3FA6P0MU9LR114947,Rapid Red,Ebony,,
3FA6P0SU9LR114949,Magnetic,Ebony,,
3FA6P0HD3LR149705,Iconic Silver,Ebony,,
3FA6P0RU7LR149706,Rapid Red,Ebony,,
3FA6P0MU3LR172178,Rapid Red,Ebony,,
3FA6P0T95LR172180,Velocity Blue,Ebony,,
3FA6P0T99LR172179,Magnetic,Ebony,,
1FATP8UH4L5159852,Magnetic Metallic,Ebony,,
1FATP8FFXL5130397,Kona Blue Metallic,Ceramic,,
1FATP8FF9L5124591,Oxford White,Tan,,
1FA6P8CF5L5115016,Shadow Black,Showstopper Red,,
1FA6P8SJ0L5502112,Magnetic Metallic,Ebony,,
3FA6P0G75LR126731,Magnetic Metallic,Ebony Stone,,
3FA6P0HD3LR112086,Oxford White,Medium Light Stone,,
3FA6P0D96LR126730,White Platinum Metallic Tri-Coat,Russet,,
3FA6P0MU5LR112225,Red,Ebony,,
